,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
1,1,7505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63,38.26,871.38,158.48,1029.86,21.63,1008.23
2,1,6600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,38.26,871.38,158.48,1029.86,22.6,1007.26
3,1,7515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53,38.26,871.38,158.48,1029.86,21.53,1008.33
4,1,5933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.45,38.26,871.38,158.48,1029.86,21.45,1008.41
5,1,7170,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,24.38,0.0,1371.38,120.22,1491.6,50.12,1441.48
6,1,3890,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.09,0.0,53.77,0.0,2027.79,306.84,2334.63,220.86,2113.77
7,1,7526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.36,0.56,1202.73,187.05,1389.78,25.36,1364.42
8,1,3652,1.0,0.0,200.0,0.0,0.0,383.82,0.0,0.0,0.0,146.4,0.0,55.04,0.0,1866.08,279.37,2145.45,786.26,1359.19
9,1,2530,1.0,0.0,0.0,0.0,0.0,158.67,0.0,0.0,0.0,0.0,0.0,19.82,38.9,861.38,159.12,1020.5,179.49,841.01
10,1,1123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,0.0,30.37,0.0,1246.79,180.28,1427.07,42.55,1384.52
11,1,7458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,23.16,0.0,1371.38,120.22,1491.6,48.9,1442.7
12,1,6104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.49,0.0,27.98,0.0,1456.78,418.42,1875.2,72.47,1802.73
