oid,id_trabajador,TiempoViaje,Distancia
1,8016,15.979,36.31666667
2,7741,12.038,27.66666667
3,8040,5.087,16.63333333
4,8060,9.567,20.68333333
5,6821,18.317,30.55
6,7633,9.044,18.9
7,7815,14.666,35.51666667
8,8071,12.627,28.43333333
9,8111,5.28,10.78333333
10,7766,19.295,45.55
11,7871,25.691,45.16666667
12,7663,26.061,47.31666667
13,7934,29.939,62.48333333
14,8010,22.823,37.78333333
15,5630,20.595,32.71666667
16,7984,17.412,30.26666667
17,7847,35.249,47.05
18,8105,8.558,26.56666667
19,7814,15.696,39.13333333
20,7973,15.799,26.33333333
21,4385,16.323,44.28333333
22,8166,10.318,31.78333333
23,8137,14.688,24.86666667
24,8028,4.407,17.11666667
25,8113,5.872,19.51666667
26,5280,17.694,29.23333333
27,6877,15.169,33.21666667
28,8076,20.168,35.95
29,7259,2.564,12.5
30,8003,17.145,30.78333333
31,7927,10.951,31.38333333
32,7976,10.135,24.45
33,8162,8.736,25.78333333
34,6006,21.265,37.73333333
35,8054,3.837,14.26666667
36,8053,8.578,25.93333333
37,7944,5.731,18.05
38,3652,15.372,26.06666667
39,8129,2.564,12.5
40,7882,9.748,17.78333333
41,8120,3.837,14.26666667
42,8114,5.425,17.11666667
43,4746,55.733,63.5
44,7999,13.625,31.65
45,7776,15.968,34.23333333
46,3318,38.709,61.28333333
47,8136,12.036,38.85
48,7664,6.081,18.46666667
49,7989,3.837,14.26666667
50,7964,14.688,24.86666667
51,8029,3.305,12.46666667
52,8098,9.346,23.51666667
53,7920,9.748,17.78333333
54,7742,15.778,34.78333333
55,8165,15.372,26.06666667
56,7204,16.317,35.56666667
57,8063,11.02,35.65
58,8046,20.168,35.95
59,8017,3.312,12.71666667
60,7972,8.578,25.93333333
61,8084,11.5,33.66666667
62,8000,4.588,15.88333333
63,8156,11.032,18.9
64,7775,17.173,35.68333333
65,8065,10.361,21.93333333
66,7731,7.717,23.71666667
67,7991,23.267,42.08333333
68,7804,17.486,33.06666667
69,8070,6.618,21.73333333
70,8117,3.929,15.76666667
71,8020,19.478,35.28333333
72,7852,5.508,17.88333333
73,7221,19.914,41.1
74,7819,17.678,39.01666667
75,7974,17.001,32.18333333
76,6690,8.592,28.53333333
77,6600,8.079,27.76666667
78,3676,16.984,34.2
79,5558,16.984,34.2
80,7833,6.619,19.76666667
81,7786,6.96,22.31666667
82,5027,26.874,45.88333333
83,7505,11.188,24.28333333
