codigo_x,prediction,actual,,,
7909,1,1,TP,-,
7914,1,1,TP,-,
6083,1,1,TP,-,
7168,1,1,TP,-,
4647,0,0,TP,-,
6839,1,1,TP,-,
7392,1,0,FP,FN,
6832,1,1,TP,-,
8042,1,1,TP,-,
7786,1,1,TP,-,
7876,0,0,TP,-,
7738,0,0,TP,-,
5447,1,1,TP,-,
3676,1,1,TP,-,
3525,1,1,TP,-,
6083,1,1,TP,-,
6203,1,1,TP,-,
7584,0,0,TP,-,
7812,0,0,TP,-,
7620,0,0,TP,-,
4366,1,1,TP,-,
6766,1,1,TP,-,
7536,1,1,TP,-,
8158,0,0,TP,-,
4832,1,1,TP,-,
7573,0,0,TP,-,
7280,1,0,FP,FN,
2112,1,1,TP,-,
8048,1,1,TP,-,
7338,1,1,TP,-,
7542,1,1,TP,-,
7462,1,0,FP,FN,
7801,1,1,TP,-,
7583,0,0,TP,-,
4385,1,1,TP,-,
849,1,1,TP,-,
7741,1,0,FP,FN,
7298,1,1,TP,-,
7854,1,0,FP,FN,
4385,1,1,TP,-,
5677,1,1,TP,-,
4314,1,1,TP,-,
8061,1,0,FP,FN,
8023,0,1,FP,-,
7239,0,0,TP,-,
236,1,0,FP,FN,
7057,1,0,FP,FN,
7801,1,0,FP,FN,
7298,1,1,TP,-,
8027,0,0,TP,-,
5412,1,1,TP,-,
7457,1,0,FP,FN,
6690,1,1,TP,-,
6958,1,0,FP,FN,
854,1,1,TP,-,
7775,1,0,FP,FN,
7592,0,0,TP,-,
7607,1,0,FP,FN,
7989,1,1,TP,-,
8036,1,1,TP,-,
3676,1,1,TP,-,
7717,1,1,TP,-,
5965,1,1,TP,-,
7545,1,1,TP,-,
4958,1,1,TP,-,
7484,1,0,FP,FN,
4366,1,0,FP,FN,
6849,1,0,FP,FN,
4514,1,1,TP,-,
7788,1,0,FP,FN,
7979,0,0,TP,-,
7800,1,1,TP,-,
449,1,1,TP,-,
7515,1,0,FP,FN,
2112,1,0,FP,FN,
7632,1,1,TP,-,
