codigo_x,prediction,actual,VEREDICTO,RECALL,
7909,1,1,OK,-,
7914,1,1,OK,-,
6083,1,1,OK,-,
7168,1,1,OK,-,
4647,0,0,OK,-,
6839,1,1,OK,-,
7392,1,0,MISS,-,
6832,1,1,OK,-,
8042,1,1,OK,-,
7786,1,1,OK,-,
7876,0,0,OK,-,
7738,0,0,OK,-,
5447,1,1,OK,-,
3676,1,1,OK,-,
3525,1,1,OK,-,
6083,1,1,OK,-,
6203,1,1,OK,-,
7584,0,0,OK,-,
7812,0,0,OK,-,
7620,0,0,OK,-,
4366,1,1,OK,-,
6766,1,1,OK,-,
7536,1,1,OK,-,
8158,0,0,OK,-,
4832,1,1,OK,-,
7573,0,0,OK,-,
7280,1,0,MISS,-,
2112,1,1,OK,-,
8048,1,1,OK,-,
7338,1,1,OK,-,
7542,1,1,OK,-,
7462,1,0,MISS,-,
7801,1,1,OK,-,
7583,0,0,OK,-,
4385,1,1,OK,-,
849,1,1,OK,-,
7741,1,0,MISS,-,
7298,1,1,OK,-,
7854,1,0,MISS,-,
4385,1,1,OK,-,
5677,1,1,OK,-,
4314,1,1,OK,-,
8061,1,0,MISS,-,
8023,0,1,MISS,FN,
7239,0,0,OK,-,
236,1,0,MISS,-,
7057,1,0,MISS,-,
7801,1,0,MISS,-,
7298,1,1,OK,-,
8027,0,0,OK,-,
5412,1,1,OK,-,
7457,1,0,MISS,-,
6690,1,1,OK,-,
6958,1,0,MISS,-,
854,1,1,OK,-,
7775,1,0,MISS,-,
7592,0,0,OK,-,
7607,1,0,MISS,-,
7989,1,1,OK,-,
8036,1,1,OK,-,
3676,1,1,OK,-,
7717,1,1,OK,-,
5965,1,1,OK,-,
7545,1,1,OK,-,
4958,1,1,OK,-,
7484,1,0,MISS,-,
4366,1,0,MISS,-,
6849,1,0,MISS,-,
4514,1,1,OK,-,
7788,1,0,MISS,-,
7979,0,0,OK,-,
7800,1,1,OK,-,
449,1,1,OK,-,
7515,1,0,MISS,-,
2112,1,0,MISS,-,
7632,1,1,OK,-,
449,1,1,OK,-,
5181,1,1,OK,-,
7259,1,1,OK,-,
7776,1,1,OK,-,
7259,1,1,OK,-,
6839,1,1,OK,-,
3326,1,1,OK,-,
2522,1,1,OK,-,
2522,1,1,OK,-,
7965,0,0,OK,-,
7708,1,1,OK,-,
6582,1,1,OK,-,
6682,1,1,OK,-,
7905,0,0,OK,-,
7057,1,1,OK,-,
7212,0,0,OK,-,
2897,1,1,OK,-,
7708,1,1,OK,-,
7600,0,0,OK,-,
5704,1,1,OK,-,
236,1,1,OK,-,
7600,0,0,OK,-,
1123,1,1,OK,-,
5412,1,1,OK,-,
5232,1,1,OK,-,
7571,0,0,OK,-,
7681,1,0,MISS,-,
7633,1,1,OK,-,
1424,1,1,OK,-,
6205,1,1,OK,-,
7080,1,1,OK,-,
3525,1,1,OK,-,
5181,1,1,OK,-,
442,0,1,MISS,FN,
7632,1,1,OK,-,
7515,1,0,MISS,-,
1419,1,1,OK,-,
4137,1,1,OK,-,
7707,0,0,OK,-,
3326,1,1,OK,-,
3321,1,1,OK,-,
5644,1,1,OK,-,
6934,1,1,OK,-,
7935,1,0,MISS,-,
7663,1,1,OK,-,
6206,1,1,OK,-,
6690,1,1,OK,-,
7226,1,1,OK,-,
6690,1,1,OK,-,
3160,1,1,OK,-,
7226,0,1,MISS,FN,
7212,0,0,OK,-,
3318,1,1,OK,-,
1123,1,1,OK,-,
7167,1,0,MISS,-,
7298,1,1,OK,-,
5646,1,1,OK,-,
7616,0,0,OK,-,
7338,1,1,OK,-,
7704,1,0,MISS,-,
7593,1,1,OK,-,
7298,1,1,OK,-,
7259,1,1,OK,-,
5201,1,1,OK,-,
7779,1,1,OK,-,
4958,1,1,OK,-,
2522,1,1,OK,-,
6427,0,0,OK,-,
2112,1,0,MISS,-,
7395,1,1,OK,-,
7574,0,0,OK,-,
5933,1,1,OK,-,
881,1,0,MISS,-,
4458,1,0,MISS,-,
3525,1,1,OK,-,
7985,1,0,MISS,-,
8069,1,1,OK,-,
5704,1,1,OK,-,
7700,0,0,OK,-,
3652,1,0,MISS,-,
7705,0,0,OK,-,
7770,1,1,OK,-,
4514,1,1,OK,-,
8078,1,1,OK,-,
7392,1,0,MISS,-,
442,1,1,OK,-,
3979,1,1,OK,-,
6765,1,1,OK,-,
6565,1,1,OK,-,
5588,1,1,OK,-,
5646,1,1,OK,-,
5429,1,1,OK,-,
4504,1,1,OK,-,
5027,1,1,OK,-,
6685,1,1,OK,-,
4314,1,1,OK,-,
6685,1,1,OK,-,
5644,1,1,OK,-,
5644,1,1,OK,-,
7821,0,1,MISS,FN,
2897,1,1,OK,-,
5000,1,1,OK,-,
7869,1,1,OK,-,
6685,1,1,OK,-,
2112,1,1,OK,-,
7417,0,0,OK,-,
3780,1,1,OK,-,
7884,1,0,MISS,-,
6582,0,1,MISS,FN,
7958,1,0,MISS,-,
3652,1,1,OK,-,
5232,1,1,OK,-,
7939,0,0,OK,-,
3979,1,1,OK,-,
7942,1,1,OK,-,
7869,0,1,MISS,FN,
7421,1,1,OK,-,
