EJECUTIVOS EN SERVICIOS DE ALIMENTOS, S.A. DE C.V.                 Pagina: 0001
R.F.C.:                                                               4/NOV/19
LISTADO DE PUESTOS


 
No.    Descripcion                            Sueldo      Compensacion
...............................................................................
0001   AYUDANTE DE SERVICIO A                 103.00      4.34
0002   AYUDANTE DE SERVICIO B                 103.00      13.31
0002A  AYUDANTE DE SERVICIO B 19              103.00      10.45
0002B  AYUDANTE DE SERVICIO B                 103.00      9.71
0003   AYUDANTE DE SERVICIO C                 103.00      16.77
0003A  AYUDANTE DE COCINA E                   103.00      24.72
0003B  AYUDANTE DE SERVICIO D                 103.00      17.58
0003C  AYUDANTE DE COCINA X                   122.42      11.69
0004   ALMACENISTA A                           99.82      38.73
0005   ALMACENISTA B                          110.58      47.17
0006   ALMACENISTA C                          110.58      61.87
0007   CHEFF A                                200.00      83.33
0008   CHEFF B                                250.00      74.52
0009   CHEFF C                                280.36      85.35
0010   CHOFER A                               112.91      15.24
0011   CHOFER B                               113.88      24.99
0012   CHOFER C                               117.54      34.69
0013   CHOFER D                               117.54      41.06
0014   COCINERO A                             122.42      16.26
0014A  COCINERO A 19                          122.42      23.93
0015   COCINERO B                             122.42      22.90
0015A  COCINERO B 19                          122.42      30.17
0016   COCINERO C                             122.42      28.77
0017   COCINERO D                             125.43      35.54
0017A  COCINERO D 19                          125.43      51.09
0018   COCINERO E                             125.43      43.95
0018A  COCINERO E 19                          125.43      52.42
0019   COCINERO F                             125.43      61.35
0019A  COCINERO F 19                          125.43      71.43
0020   COCINERO G                             144.29      52.51
0020A  COCINERO G 19                          144.29      63.09
0021   COCINERO H                             153.91      62.13
0022   ENCARGADO DE COMEDOR                   125.42      47.03
0022A  ENCARGADO DE COMEDOR A/P               150.00      64
0023   ENCARGADO DE COMEDOR B                 166.67      91.97
0024   GERENTE DE CALIDAD                     348.50      174.88
0025   GERENTE DE COMEDOR                     288.65      124.29
0026   GERENTE DE GRUPO                       288.61      122.35
0027   GERENTE DE GRUPO                       311.14      152.46
0028   GERENTE DE GRUPO                       523.38
0029   GERENTE DE GRUPO                       302.16      125.65
0030   GERENTE DE UNIDAD                      280.71      58.43
0030A  GERENTE DE UNIDAD JR/AP                180.00      65.73
0031   GERENTE DE UNIDAD                      333.33      58.33
0032   HIGIENISTA                             212.13      72.14
0033   JEFE DE COCINA A                       122.42      97.26
0034   JEFE DE COCINA B                       153.91      76.34
0035   JEFE DE COCINA C                       140.57      118.17
0036   JEFE DE COCINA D                       145.74      123.34
0037   MAYORA                                 122.42      5.30
0038   MESERO                                  89.00      27.31
0039   REPOSTERO C                            174.39      78.93






EJECUTIVOS EN SERVICIOS DE ALIMENTOS, S.A. DE C.V.                 Pagina: 0002
R.F.C.:                                                               4/NOV/19
LISTADO DE PUESTOS


 
No.    Descripcion                            Sueldo      Compensacion
...............................................................................
0040   SUPERVISOR DE COMEDOR                  153.43      116.18
0041   SUPERVISOR DE COMEDOR                  153.43      116.18
0042   SUPERVISOR DE COMEDOR                  200.00      62.40
0043   SUPERVISOR DE COMEDOR A                169.03      52.37
0044   SUPERVISOR DE COMEDOR B                179.85      94.12
0044A  SUPERVISOR C                           142.01      77.67
0045   ENCARGADO DE COMEDOR A                 129.17      78.57
0046   MAYORA "L"                              81.04      21.13
0047   SUB JEFE DE SERVICIO "A"                86.21      8.62
0048   ENCARGADO DE COMEDOR "F"               114.94      15.4
0049   CAJERO "B"                              60.50      8.33
0050   COCINERO "A"                           100.57      28.74
0051   COCINERO "B"                            81.04      19.95
0052   COCINERO "C"                            81.04
0053   SUPERVISORA DE COMEDOR REG 2           146.55      125.31
0054   DIETISTA "B"                           143.39      29.03
0055   DIETISTA "A"                           154.31      61.20
0056   ENCARGADO DE TURNO                      69.20      32.96
0057   ALMACENISTA "E"                         81.98      10.20
0058   AUXILIAR DE SERVICIO "D"                54.80      2.51
0059   AYUDANTE DE COCINA "C"                  57.46      21.69
0060   COCINERA "B"                           100.57      28.74
0061   NUTRIOLOGA                             143.68      43.10
0062   COCINERO "D"                            81.04      25.62
0063   ENCARGADA DE COMEDOR                    86.21      28.74
0064   SUPERVISORA DE ZONA "C"                165.37      78.89
0065   ENCARGADO DE COMEDOR "C"                88.70      16.07
0066   ALMACENISTA "B"                         72.08      33.35
0067   MAYORA                                  81.04
0068   MAYORA C                                99.48      1.94
0069   SUPERVISOR DE COMEDOR "F"              217.85      69.5
0070   ENCARGADO                              100.41      47.27
0071   COCINERO "D"                            88.45      31.24
0072   CHEFF "D"                              194.35      31.94
0073   SUPERVISOR DE COMEDOR "G"              129.04      28.98
0074   ENCARGADO DE COMEDOR "E"                87.03      12.63
0075   GERENTE DE UNIDAD                      180.00      92.58
0077   ENGARGADO DE COMEDOR                    87.03      16.82
0078   CHEFF                                  239.43      62.87
0080   MAYORA III                              99.48      39.58
0081   MAYORA "K"                              92.16      52.74
0082   GTE. DE COMEDOR                        125.94      60.84
0083   AYUDANTE DE SERVICIO "A"                54.80      16.32
0084   ENCARGADO(A)                            92.16      58.68
0085   DIETISTA                               114.94      58.07
0086   ENCARGADO                              198.40      2.75
0087   SUPERVISOR                             121.86      50.56
