,codigo_x,prediction,actual,veredict,recall,
0,7840,sigue,fue,FP,FN,
1,7505,sigue,fue,FP,FN,
2,6600,sigue,sigue,TP,-,
3,7685,fue,sigue,FP,-,
4,7331,sigue,fue,FP,FN,
5,5933,sigue,sigue,TP,-,
6,7170,fue,sigue,FP,-,
7,7774,fue,fue,TP,-,
8,5201,sigue,sigue,TP,-,
9,3890,sigue,sigue,TP,-,
10,7834,sigue,sigue,TP,-,
11,3652,sigue,fue,FP,FN,
12,1123,sigue,sigue,TP,-,
13,4044,sigue,fue,FP,FN,
14,7593,sigue,fue,FP,FN,
15,7259,sigue,sigue,TP,-,
16,7312,sigue,fue,FP,FN,
17,7338,sigue,sigue,TP,-,
18,5677,sigue,sigue,TP,-,
19,7737,fue,fue,TP,-,
20,6210,sigue,fue,FP,FN,
21,6213,fue,fue,TP,-,
22,7812,fue,fue,TP,-,
23,849,sigue,sigue,TP,-,
24,7536,sigue,sigue,TP,-,
25,7430,sigue,fue,FP,FN,
26,5181,sigue,sigue,TP,-,
27,7655,fue,fue,TP,-,
28,7057,fue,fue,TP,-,
29,5558,sigue,sigue,TP,-,
30,4746,sigue,fue,FP,FN,
31,7663,sigue,sigue,TP,-,
32,7407,sigue,fue,FP,FN,
33,7828,fue,fue,TP,-,
34,7773,fue,sigue,FP,-,
35,7839,sigue,fue,FP,FN,
36,1424,sigue,sigue,TP,-,
37,5280,sigue,sigue,TP,-,
38,7742,sigue,fue,FP,FN,
39,6461,sigue,sigue,TP,-,
40,6765,sigue,sigue,TP,-,
41,7694,fue,fue,TP,-,
42,7752,fue,fue,TP,-,
43,6657,sigue,fue,FP,FN,
44,5000,sigue,sigue,TP,-,
45,5644,sigue,sigue,TP,-,
46,6638,sigue,sigue,TP,-,
47,7800,fue,sigue,FP,-,
48,6690,fue,sigue,FP,-,
49,7168,sigue,sigue,TP,-,
50,4233,fue,fue,TP,-,
51,7786,sigue,fue,FP,FN,
52,4314,sigue,sigue,TP,-,
53,7632,sigue,sigue,TP,-,
54,6504,fue,fue,TP,-,
55,7801,fue,fue,TP,-,
56,7604,fue,fue,TP,-,
57,7061,fue,fue,TP,-,
58,7805,sigue,fue,FP,FN,
59,7633,sigue,sigue,TP,-,
60,7428,fue,fue,TP,-,
61,2897,sigue,sigue,TP,-,
62,7558,sigue,fue,FP,FN,
63,6360,fue,fue,TP,-,
64,7614,sigue,sigue,TP,-,
65,3318,sigue,sigue,TP,-,
66,7706,sigue,fue,FP,FN,
67,7804,sigue,sigue,TP,-,
68,5139,sigue,fue,FP,FN,
69,6083,sigue,sigue,TP,-,
70,6766,sigue,sigue,TP,-,
71,4137,sigue,sigue,TP,-,
72,7542,sigue,sigue,TP,-,
73,7756,fue,fue,TP,-,
74,7759,fue,fue,TP,-,
75,3780,sigue,sigue,TP,-,
76,6205,sigue,sigue,TP,-,
77,5027,sigue,sigue,TP,-,
78,7791,fue,fue,TP,-,
79,7818,fue,sigue,FP,-,
80,7815,fue,sigue,FP,-,
81,7838,fue,fue,TP,-,
82,6839,sigue,sigue,TP,-,
83,5646,sigue,sigue,TP,-,
84,7750,fue,fue,TP,-,
85,7708,sigue,sigue,TP,-,
86,7833,fue,fue,TP,-,
87,5679,sigue,fue,FP,FN,
88,7530,sigue,sigue,TP,-,
89,6028,sigue,sigue,TP,-,
90,6565,sigue,sigue,TP,-,
91,7731,fue,fue,TP,-,
92,7753,sigue,fue,FP,FN,
93,3676,sigue,sigue,TP,-,
94,3221,sigue,sigue,TP,-,
95,7741,fue,fue,TP,-,
96,7779,sigue,sigue,TP,-,
97,7269,fue,fue,TP,-,
98,2522,sigue,sigue,TP,-,
99,236,sigue,fue,FP,FN,
100,7080,sigue,sigue,TP,-,
101,5965,sigue,sigue,TP,-,
102,5447,sigue,sigue,TP,-,
103,7723,fue,fue,TP,-,
104,6685,sigue,sigue,TP,-,
105,5549,sigue,sigue,TP,-,
106,854,sigue,sigue,TP,-,
107,7295,sigue,sigue,TP,-,
108,6832,sigue,fue,FP,FN,
109,4807,sigue,sigue,TP,-,
110,6821,sigue,fue,FP,FN,
111,3169,sigue,sigue,TP,-,
112,4514,sigue,sigue,TP,-,
113,7814,sigue,sigue,TP,-,
114,7104,fue,fue,TP,-,
115,7754,fue,sigue,FP,-,
116,7717,sigue,fue,FP,FN,
117,6014,sigue,sigue,TP,-,
118,7775,fue,fue,TP,-,
119,7783,sigue,fue,FP,FN,
120,7551,fue,fue,TP,-,
121,7715,fue,fue,TP,-,
122,3827,sigue,sigue,TP,-,
123,5412,sigue,sigue,TP,-,
124,4504,sigue,fue,FP,FN,
125,7395,sigue,sigue,TP,-,
126,214,sigue,sigue,TP,-,
127,6321,fue,fue,TP,-,
128,5232,sigue,sigue,TP,-,
129,4958,sigue,sigue,TP,-,
130,3979,sigue,sigue,TP,-,
131,442,sigue,sigue,TP,-,
132,7699,sigue,fue,FP,FN,
133,7330,sigue,sigue,TP,-,
134,7719,fue,fue,TP,-,
135,7841,fue,fue,TP,-,
136,7421,fue,fue,TP,-,
137,7776,fue,fue,TP,-,
138,7823,fue,fue,TP,-,
139,7298,sigue,sigue,TP,-,
140,7758,sigue,fue,FP,FN,
141,5396,sigue,sigue,TP,-,
142,5704,sigue,fue,FP,FN,
143,7503,fue,fue,TP,-,
144,7588,fue,fue,TP,-,
145,7821,sigue,fue,FP,FN,
146,5588,sigue,fue,FP,FN,
147,6203,sigue,sigue,TP,-,
148,6582,sigue,fue,FP,FN,
149,7392,fue,fue,TP,-,
150,7226,sigue,sigue,TP,-,
151,7664,fue,fue,TP,-,
152,7766,sigue,fue,FP,FN,
153,3326,sigue,sigue,TP,-,
154,449,sigue,sigue,TP,-,
155,6934,sigue,sigue,TP,-,
156,7770,fue,fue,TP,-,
157,7137,sigue,sigue,TP,-,
158,6682,sigue,sigue,TP,-,
159,1269,sigue,sigue,TP,-,
160,6006,fue,fue,TP,-,
161,1419,sigue,sigue,TP,-,
162,3525,sigue,sigue,TP,-,
163,6885,sigue,sigue,TP,-,
164,4775,sigue,sigue,TP,-,
165,7528,sigue,fue,FP,FN,
166,4832,sigue,sigue,TP,-,
167,7836,fue,fue,TP,-,
168,7824,fue,fue,TP,-,
169,3321,sigue,sigue,TP,-,
