,sem,codigo,dias_pag,dias_lab,sueldo,comp,asist,transp,vales,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util
0,1,7505,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6600,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,7515,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,5933,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,7170,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
5,1,3890,7.0,5.0,1258.95,658.84,60.0,50.0,306.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,7526,7.0,5.0,618.52,132.86,60.0,60.0,120.22,132.54,265.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,3652,7.0,5.0,1077.37,668.71,60.0,60.0,279.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,2530,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1123,7.0,5.0,878.01,248.78,60.0,60.0,180.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,7458,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
11,1,6104,7.0,5.0,618.52,132.86,60.0,60.0,120.22,198.81,331.35,154.63,154.63,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,7005,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
13,1,7259,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,7276,7.0,5.0,816.13,55.37,60.0,60.0,139.44,262.32,218.6,0.0,0.0,58.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1,7312,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
16,1,7338,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
17,1,5677,7.0,5.0,816.13,201.11,60.0,60.0,162.75,0.0,0.0,0.0,0.0,58.29,0.0,0.0,0.0,0.0,145.32,0.0,0.0
18,1,7531,7.0,5.0,618.52,132.86,60.0,60.0,120.22,198.81,298.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1,6210,7.0,5.0,618.52,132.86,60.0,60.0,120.22,88.36,0.0,0.0,0.0,0.0,200.0,500.0,0.0,0.0,0.0,0.0,0.0
20,1,849,7.0,5.0,816.13,49.98,60.0,50.0,138.57,0.0,0.0,0.0,174.88,0.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1,7536,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,5993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,7538,7.0,4.0,618.52,111.03,0.0,50.0,100.47,0.0,0.0,0.0,0.0,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,7430,7.0,5.0,994.07,460.11,60.0,60.0,232.66,0.0,0.0,0.0,284.02,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,5181,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,7463,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,7057,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,121.49,0.0,600.0,500.0,0.0,0.0,0.0,0.0,0.0
28,1,7076,7.0,4.0,816.13,123.7,0.0,40.0,124.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,5558,7.0,5.0,618.52,132.86,60.0,50.0,120.22,44.18,0.0,132.54,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
30,1,4746,7.0,5.0,878.01,248.78,60.0,50.0,180.28,282.21,517.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,7573,3.0,2.0,123.7,26.57,20.0,10.0,24.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,7516,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,7407,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,7540,7.0,5.0,618.52,132.86,60.0,50.0,120.22,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1,2107,7.0,5.0,774.06,433.09,60.0,50.0,193.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,1424,7.0,5.0,1962.52,597.45,60.0,60.0,409.59,455.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1,5280,7.0,5.0,1166.69,643.79,60.0,50.0,289.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1,6472,7.0,5.0,2333.31,408.31,60.0,60.0,438.65,0.0,0.0,0.0,666.66,166.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1,7442,7.0,5.0,816.13,201.11,60.0,60.0,162.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1,6461,7.0,5.0,797.16,174.93,60.0,50.0,155.53,28.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1,6765,7.0,5.0,878.01,248.78,60.0,50.0,180.28,94.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1,7012,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
43,1,7478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,5000,7.0,5.0,816.13,154.63,60.0,60.0,155.32,145.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1,7206,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1,5644,7.0,5.0,797.16,174.93,60.0,50.0,155.53,56.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,7519,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
48,1,7292,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,6690,7.0,5.0,618.52,132.86,60.0,50.0,120.22,44.18,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
50,1,90,7.0,5.0,878.01,429.45,60.0,50.0,209.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1,7168,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,6958,7.0,4.0,618.52,106.28,0.0,40.0,96.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
