,año,sem,codigo,dias_pag,dias_lab,sueldo,comp,asist,transp,vales,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util
0,2019,1,7840,7.0,5.0,1143.52,462.91,60.0,60.0,257.02,367.56,673.86,0.0,326.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1,2019,1,7505,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,0.0,206.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.00
2,2019,1,6600,7.0,5.0,721.0,30.38,60.0,50.0,120.22,180.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3,2019,1,7685,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,0.0,0.00
4,2019,1,7331,7.0,5.0,721.0,30.38,60.0,60.0,120.22,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5,2019,1,5933,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6,2019,1,7170,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7,2019,1,7774,7.0,5.0,721.0,30.38,60.0,60.0,120.22,128.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
8,2019,1,5201,7.0,5.0,878.01,429.45,60.0,60.0,209.19,94.07,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.00
9,2019,1,3890,7.0,5.0,1258.95,735.56,60.0,50.0,319.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
10,2019,1,7834,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
11,2019,1,3652,7.0,5.0,1077.37,738.57,60.0,60.0,290.55,0.0,0.0,0.0,0.0,76.95,0.0,0.0,0.0,0.0,0.0,0.0,0.00
12,2019,1,1123,7.0,5.0,878.01,293.86,60.0,60.0,187.49,219.5,0.0,156.78,0.0,62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.00
13,2019,1,4044,7.0,5.0,878.01,307.65,60.0,60.0,189.7,0.0,0.0,0.0,250.86,62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.00
14,2019,1,7593,7.0,5.0,721.0,30.38,60.0,60.0,120.22,77.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
15,2019,1,7259,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
16,2019,1,7312,7.0,4.0,721.0,102.84,0.0,50.0,112.86,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
