id_trabajador,depto,TiempoViaje,Distancia,GMU2010,IMU2010,pobtot_10,nDelitos,tDelitos
7614,3,4.044,11.16666667,Medio,-0.385804171,5279,43,8.145482099
7206,3,3.611,11.46666667,Alto,0.775709615,154,0,0
1269,3,38.254,50.63333333,Medio,-0.456244718,3207,31,9.666354849
7649,3,4.044,11.16666667,Medio,-0.385804171,5279,43,8.145482099
7590,3,5.874,14.03333333,Medio,-0.61658299,2599,26,10.00384763
5412,3,2.202,7.583333333,Muy bajo,-1.185895292,2732,77,28.18448023
7579,3,2.202,7.583333333,Muy bajo,-1.185895292,2732,77,28.18448023
7589,3,4.534,11.33333333,NA,NA,NA,0,NA
8033,3,4.187,12.31666667,Medio,0.040606422,8319,52,6.250751292
7602,3,2.202,7.583333333,Muy bajo,-1.185895292,2732,77,28.18448023
7615,3,2.202,7.583333333,Muy bajo,-1.185895292,2732,77,28.18448023
445,3,25.547,39.68333333,Alto,0.274627051,6366,0,0
6766,3,11.067,26.78333333,Medio,-0.401797782,2830,13,4.593639576
7587,4,22.816,39.53333333,Bajo,-0.782702953,2586,0,0
7483,4,5.15,13.38333333,Medio,-0.572281914,5320,0,0
116,4,26.562,53.38333333,Bajo,-0.706208905,4405,0,0
4287,4,13.305,23.95,Bajo,-0.641096075,5774,79,13.68202286
7314,4,5.668,17.8,Medio,-0.539218696,4629,0,0
7970,4,22.637,44.83333333,Muy bajo,-1.0058037,3928,0,0
7292,4,9.556,26.8,Medio,-0.192534208,3358,33,9.827278142
7654,4,17.171,36.11666667,Muy alto,1.352574696,2430,0,0
7985,4,7.787,16.31666667,Medio,-0.536756599,2182,0,0
7959,4,5.668,17.8,Medio,-0.539218696,4629,0,0
4366,4,3.939,9.8,Muy bajo,-1.203307417,3272,0,0
7814,4,10.365,22.71666667,Muy bajo,-0.996838508,3714,0,0
7574,4,1.614,4.566666667,Bajo,-0.693602244,3051,0,0
849,4,12.427,21.25,Muy bajo,-1.520128566,411,23,55.96107056
5901,4,17.634,40.33333333,NA,NA,NA,0,NA
7607,4,12.578,25.85,Medio,-0.013612504,6094,0,0
8099,4,11.215,24.43333333,Medio,-0.090908055,5152,0,0
7104,4,15.619,28.06666667,Alto,0.172689659,5642,0,0
7400,4,17.134,33.53333333,Medio,-0.155172534,4486,0,0
8091,4,16.291,31.53333333,Alto,0.170723607,6916,0,0
4385,4,15.298,33.85,Alto,0.314043979,3588,0,0
5447,4,24.438,33.33333333,Bajo,-0.908064849,2812,0,0
7940,4,6,18.73333333,Medio,0.003863291,3852,0,0
3321,4,12.108,22.48333333,Alto,0.316388984,3962,0,0
8019,4,8.516,17.4,Medio,-0.171947102,1014,0,0
8152,5,3.655,11.01666667,Bajo,-0.731233958,5447,34,6.241968056
8090,5,19.9,49,Alto,0.453320424,9150,0,0
7632,5,27.925,55.93333333,Alto,0.783742363,6499,0,0
442,5,20.385,41.96666667,Medio,-0.505153413,4771,0,0
7894,5,25.538,46.53333333,Alto,0.595616054,6518,73,11.19975453
8101,5,5.677,17.2,Bajo,-0.634631204,5247,21,4.002287021
8108,5,3.655,11.01666667,Bajo,-0.731233958,5447,34,6.241968056
6582,5,20.109,49.3,Alto,0.820802431,4565,0,0
7670,5,8.844,22.06666667,Medio,-0.203265732,501,3,5.988023952
3827,5,1.541,5.116666667,Bajo,-0.900912665,5216,162,31.05828221
7722,5,17.447,44.96666667,Medio,-0.276642945,451,21,46.5631929
7335,5,35.263,68.88333333,Alto,0.80969156,4449,0,0
854,5,12.301,32.85,Alto,0.344383894,3440,27,7.848837209
7725,5,4.842,11.55,Bajo,-0.668747934,2188,24,10.96892139
6791,5,15.163,33.81666667,Medio,-0.363447737,4672,0,0
8155,5,8.391,20.63333333,Medio,-0.456244718,3207,31,9.666354849
8115,5,42.691,54.28333333,Bajo,-0.6998975,1487,0,0
7575,5,25.385,58.06666667,Medio,-0.421567378,4752,31,6.523569024
7763,5,2.332,8.166666667,Medio,-0.585704944,4962,45,9.068923821
5506,5,6.274,17.46666667,Medio,-0.50074742,3183,74,23.2485077
2522,5,27.925,55.93333333,Alto,0.783742363,6499,0,0
8102,5,1.584,6.95,Bajo,-0.643511185,4487,33,7.354579897
7330,5,30.984,63.68333333,NA,NA,NA,0,NA
7717,5,8.519,23.95,Bajo,-0.953826807,1331,13,9.767092412
7724,5,1.559,5.3,Medio,-0.373295921,3933,46,11.69590643
6832,5,1.559,5.3,Medio,-0.373295921,3933,46,11.69590643
7734,5,12.746,30.71666667,Medio,-0.158504993,7052,45,6.381168463
7624,5,23.162,45.05,Alto,0.298829287,3037,0,0
7558,5,5.913,14.41666667,Muy bajo,-1.311196355,2036,139,68.27111984
8157,5,6.274,17.46666667,Medio,-0.50074742,3183,74,23.2485077
7621,5,21.772,42.76666667,Medio,-0.485654709,4291,74,17.24539734
7669,5,22.152,55.91666667,NA,NA,NA,0,NA
7616,5,9.738,26.85,Medio,-0.354929574,4934,77,15.60599919
5396,5,23.162,45.05,Alto,0.298829287,3037,0,0
7703,5,9.738,26.85,Medio,-0.354929574,4934,77,15.60599919
7606,5,1.541,5.116666667,Bajo,-0.900912665,5216,162,31.05828221
7689,5,7.276,14.66666667,Bajo,-0.822693396,2705,161,59.5194085
8110,5,2.332,8.166666667,Medio,-0.585704944,4962,45,9.068923821
7701,5,8.845,19.48333333,Medio,-0.286465677,4060,104,25.61576355
449,5,6.461,16.5,Bajo,-0.859252108,8632,251,29.07784986
3780,5,19.545,35.35,Alto,0.063368427,4747,0,0
7668,5,2.47,7.9,Bajo,-0.843419861,2543,35,13.76327173
8095,5,2.47,7.9,Bajo,-0.843419861,2543,35,13.76327173
7538,5,19.363,51.21666667,Alto,0.623486383,8134,0,0
8077,5,10.735,31.56666667,Muy bajo,-1.094890677,2875,21,7.304347826
7463,5,25.891,47.51666667,Alto,0.472493436,4137,0,0
7280,5,23.571,60.48333333,NA,NA,NA,0,NA
8014,5,10.643,26.9,Medio,-0.61246988,9292,0,0
4314,5,31.494,58.26666667,Medio,-0.582215276,4384,22,5.018248175
7618,5,22.187,53.86666667,Alto,0.610341841,10050,0,0
4233,5,3.884,12.95,Medio,-0.353777804,5237,78,14.8940233
7530,5,13.583,31.53333333,Medio,-0.147222021,6693,0,0
7856,5,9.469,22.76666667,Bajo,-0.678220973,3477,43,12.36698303
7740,5,13.023,29.21666667,Muy bajo,-1.163330685,1383,42,30.36876356
7713,5,5.677,17.2,Bajo,-0.634631204,5247,21,4.002287021
7167,5,7.256,17.88333333,Medio,-0.407526356,5691,80,14.05728343
7005,5,9.738,26.85,Medio,-0.354929574,4934,77,15.60599919
8126,5,2.591,7.95,Muy bajo,-1.110210404,2176,19,8.731617647
7702,5,30.563,45.38333333,Alto,0.635743392,4623,0,0
7685,5,25.807,40.31666667,Alto,0.840286156,3254,0,0
7842,5,1.541,5.116666667,Bajo,-0.900912665,5216,162,31.05828221
7729,5,15.163,33.81666667,Medio,-0.363447737,4672,0,0
8092,5,5.677,17.2,Bajo,-0.634631204,5247,21,4.002287021
90,5,19.141,36.38333333,Muy bajo,-1.274805583,1353,61,45.0849963
7691,5,5.677,17.2,Bajo,-0.634631204,5247,21,4.002287021
4807,6,32.767,46.88333333,Medio,-0.068983564,4145,0,0
6934,6,8.814,22.1,Muy bajo,-1.275735704,1848,61,33.00865801
4504,6,37.272,59.46666667,Alto,0.574580733,2027,0,0
6682,6,17.252,35.65,Muy bajo,-1.045938838,2009,36,17.91936287
5902,6,25.738,49.46666667,Medio,-0.203265732,501,3,5.988023952
8087,6,16.558,37.46666667,Medio,-0.585704944,4962,45,9.068923821
3890,6,43.738,69.1,Bajo,-0.891007142,2532,0,0
366,6,35.106,55.18333333,Bajo,-0.709323044,3962,54,13.62948006
8100,6,34.158,61.23333333,Alto,0.184001491,2992,0,0
214,6,24.331,42.15,Medio,-0.474807523,10152,0,0
4137,6,4.346,12.98333333,Medio,-0.306069544,7137,0,0
3979,6,30.786,62.73333333,Alto,0.113418979,6290,49,7.790143084
7673,7,28.801,52.76666667,Medio,-0.189419712,6291,0,0
7599,7,36.547,67.5,Muy alto,2.034141644,2030,0,0
7751,7,28.935,51.48333333,Muy bajo,-1.252327133,2675,41,15.3271028
7827,7,19.224,37.58333333,Bajo,-0.843419861,2543,35,13.76327173
7777,7,25.274,49.56666667,Muy bajo,-1.069837229,3112,31,9.961439589
7356,7,22.889,43.98333333,Bajo,-0.640312377,3542,22,6.211180124
6210,7,25.338,51.38333333,Bajo,-0.678220973,3477,43,12.36698303
7848,7,25.283,49.53333333,Alto,0.453320424,9150,0,0
7638,7,28.607,52.65,Medio,-0.293533486,3889,0,0
7871,8,19.433,35.85,Medio,-0.138067565,5283,0,0
6958,8,23.405,45.26666667,Medio,-0.561162525,7859,0,0
7651,8,25.85,43.93333333,Alto,0.610341841,10050,0,0
7766,8,19.224,37.58333333,Bajo,-0.843419861,2543,35,13.76327173
7597,8,18.102,32.56666667,Bajo,-0.657148532,2768,63,22.76011561
7784,8,49.271,51.63333333,Bajo,-0.930703887,3786,0,0
7806,8,25.828,51.46666667,Alto,0.247744377,4923,48,9.750152346
8010,8,22.823,37.78333333,Medio,-0.557084925,7016,0,0
2107,8,19.108,47.05,Bajo,-0.731233958,5447,34,6.241968056
7934,8,30.758,64.5,Alto,0.344383894,3440,27,7.848837209
7663,8,28.801,52.76666667,Medio,-0.189419712,6291,0,0
5630,8,20.595,32.71666667,Medio,-0.264079931,9472,0,0
6461,11,33.827,48.31666667,Alto,0.850314647,4100,0,0
7635,11,10.522,18.15,Bajo,-0.722000269,2879,35,12.15699896
7585,11,5.575,10.93333333,Muy bajo,-1.111002684,2741,1,0.364830354
