sem_x,codigo_x,dias_pag,dias_lab,sueldo,comp,asist,transp,vales_x,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util,PK,sem_y,codigo_y,vales_y,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto,antig,depto,puesto,label,tiempov,dist,delitos,label2
1,7505,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17505,1,7505,1,0,0,0,0,0,0,0,0,0,0,20.63,38.26,871.38,158.48,1029.86,21.63,1008.23,468,82,0003A,sigue,11.188,24.28333333,0,1
1,6600,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,16600,1,6600,1,0,0,0,0,0,0,0,0,0,0,21.6,38.26,871.38,158.48,1029.86,22.6,1007.26,1187,80,1,sigue,8.079,27.76666667,46,1
1,7515,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17515,1,7515,1,0,0,0,0,0,0,0,0,0,0,20.53,38.26,871.38,158.48,1029.86,21.53,1008.33,202,72,1,fue,8.4,21.9,0,0
1,5933,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,15933,1,5933,1,0,0,0,0,0,0,0,0,0,0,20.45,38.26,871.38,158.48,1029.86,21.45,1008.41,1582,51,1,sigue,3.738,10.18333333,21,1
1,7170,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,500,0,0,0,0,0,17170,1,7170,1,0,0,0,0,0,0,0,0,24.74,0,24.38,0,1371.38,120.22,1491.6,50.12,1441.48,774,57,1,sigue,8.113,20.51666667,0,1
1,3890,7,5,1258.95,658.84,60,50,306.84,0,0,0,0,0,0,0,0,0,0,0,0,13890,1,3890,1,0,0,0,0,0,0,0,0,166.09,0,53.77,0,2027.79,306.84,2334.63,220.86,2113.77,3143,6,175,sigue,43.738,69.1,0,1
1,7526,7,5,618.52,132.86,60,60,120.22,132.54,265.08,0,0,0,0,0,0,0,0,0,0,17526,1,7526,1,0,0,0,0,0,0,0,0,0,0,24.36,0.56,1202.73,187.05,1389.78,25.36,1364.42,144,68,1,fue,4.177,13.18333333,46,0
1,3652,7,5,1077.37,668.71,60,60,279.37,0,0,0,0,0,0,0,0,0,0,0,0,13652,1,3652,1,0,200,0,0,383.82,0,0,0,146.4,0,55.04,0,1866.08,279.37,2145.45,786.26,1359.19,840,51,516,sigue,15.372,26.06666667,0,1
1,2530,7,5,618.52,132.86,60,50,120.22,0,0,0,0,0,0,0,0,0,0,0,0,12530,1,2530,1,0,0,0,0,158.67,0,0,0,0,0,19.82,38.9,861.38,159.12,1020.5,179.49,841.01,432,37,1,fue,2.68,9.3,74,0
1,1123,7,5,878.01,248.78,60,60,180.28,0,0,0,0,0,0,0,0,0,0,0,0,11123,1,1123,1,0,0,0,0,0,0,0,0,11.18,0,30.37,0,1246.79,180.28,1427.07,42.55,1384.52,4746,59,181,sigue,28.335,44.11666667,0,1
1,7458,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,500,0,0,0,0,0,17458,1,7458,1,0,0,0,0,0,0,0,0,24.74,0,23.16,0,1371.38,120.22,1491.6,48.9,1442.7,229,61,1,fue,11.807,25.35,0,0
1,6104,7,5,618.52,132.86,60,60,120.22,198.81,331.35,154.63,154.63,44.18,0,0,0,0,0,0,0,16104,1,6104,1,0,0,0,0,0,0,0,0,43.49,0,27.98,0,1456.78,418.42,1875.2,72.47,1802.73,371,85,1,fue,8.507,14.65,0,0
1,7005,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,500,0,0,0,0,0,17005,1,7005,1,0,0,0,0,0,0,0,0,24.74,0,22.71,0,1371.38,120.22,1491.6,48.45,1443.15,682,5,1,fue,9.738,26.85,77,0
1,7259,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17259,1,7259,1,48,0,0,0,0,0,0,0,0,0,21.08,38.26,871.38,158.48,1029.86,70.08,959.78,691,81,1,sigue,2.564,12.5,49,1
1,7276,7,5,816.13,55.37,60,60,139.44,262.32,218.6,0,0,58.29,0,0,0,0,0,0,0,17276,1,7276,1,0,0,0,0,0,0,0,0,21.46,0,25.65,0,1341.26,328.89,1670.15,48.11,1622.04,404,52,182,fue,12.519,34.16666667,31,0
1,7312,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,500,0,0,0,0,0,17312,1,7312,1,48,0,0,0,0,0,0,0,24.74,0,21.1,0,1371.38,120.22,1491.6,94.84,1396.76,662,85,0003B,sigue,4.856,7.066666667,0,1
1,7338,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,500,0,0,0,0,0,17338,1,7338,1,0,0,0,0,0,0,0,0,24.74,0,22.73,0,1371.38,120.22,1491.6,48.47,1443.13,640,82,0003A,sigue,19.039,39.5,0,1
1,5677,7,5,816.13,201.11,60,60,162.75,0,0,0,0,58.29,0,0,0,0,145.32,0,0,15677,1,5677,1,0,0,0,0,0,0,0,0,0,0,28.76,7.69,1137.24,374.05,1511.29,29.76,1481.53,1836,87,15,sigue,4.94,6.433333333,0,1
1,7531,7,5,618.52,132.86,60,60,120.22,198.81,298.21,0,0,0,0,0,0,0,0,0,0,17531,1,7531,1,0,0,0,0,0,0,0,0,13.6,0,25.2,0,1269,219.62,1488.62,39.8,1448.82,90,79,1,fue,7.234,15.05,0,0
