,codigo_x,Prediction,Actual,res
0,90,6,6,6
1,116,2,2,2
2,445,4,4,4
3,881,9,9,9
4,2107,3,3,3
5,2233,1,1,1
6,2413,2,2,2
7,2451,5,5,5
8,2530,2,2,2
9,3217,3,3,3
10,3218,7,7,7
11,3960,4,4,4
12,4008,9,9,9
13,4287,7,7,7
14,4458,6,6,6
15,4647,1,1,1
16,4773,1,1,1
17,5168,1,1,1
18,5237,4,4,4
19,5332,4,4,4
20,5506,16,16,16
21,5671,5,5,5
22,5737,2,2,2
23,5745,8,8,8
24,5761,4,4,4
25,5901,3,3,3
26,5905,4,4,4
27,6061,8,8,8
28,6104,5,5,5
29,6193,1,1,1
30,6280,1,1,1
31,6334,1,1,1
32,6349,7,7,7
33,6379,3,3,3
34,6427,2,2,2
35,6542,3,3,3
36,6567,5,5,5
37,6658,7,7,7
38,6791,4,4,4
39,6831,4,4,4
40,6849,5,5,5
41,6884,2,2,2
42,6918,13,13,13
43,6927,1,1,1
44,6944,5,5,5
45,6955,1,1,1
46,6958,11,11,11
47,6985,17,17,17
48,7005,5,5,5
49,7012,6,6,6
50,7037,1,1,1
51,7167,1,1,1
52,7190,11,11,11
53,7206,3,3,3
54,7212,9,9,9
55,7231,4,4,4
56,7239,5,5,5
57,7243,10,10,10
58,7245,5,5,5
59,7272,2,2,2
60,7276,1,1,1
61,7280,2,2,2
62,7292,4,4,4
63,7335,3,3,3
64,7376,12,12,12
65,7397,10,10,10
66,7417,2,2,2
67,7442,1,1,1
68,7453,1,1,1
69,7458,1,1,1
70,7462,5,5,5
71,7463,1,1,1
72,7467,1,1,1
73,7484,3,3,3
74,7485,8,8,8
75,7489,1,1,1
76,7515,3,3,3
77,7516,3,3,3
78,7517,1,1,1
79,7519,9,9,9
80,7522,2,2,2
81,7526,1,1,1
82,7531,1,1,1
83,7538,1,1,1
84,7540,1,1,1
85,7554,2,2,2
86,7555,6,6,6
87,7557,2,2,2
88,7571,2,2,2
89,7573,7,7,7
90,7574,1,1,1
91,7575,1,1,1
92,7577,4,4,4
93,7580,1,1,1
94,7581,1,1,1
95,7582,2,2,2
96,7583,3,3,3
97,7584,2,2,2
98,7586,11,11,11
99,7591,3,3,3
100,7592,2,2,2
101,7595,9,9,9
102,7596,1,1,1
103,7600,4,4,4
104,7601,3,3,3
105,7605,1,1,1
106,7607,1,1,1
107,7610,3,3,3
108,7613,6,6,6
109,7616,4,4,4
110,7617,7,7,7
111,7619,2,2,2
112,7620,2,2,2
