,codigo,fec_nac,sexo,edo_civ,depto,fec_ing,fec_baj,jorn,puesto,cp,label,antig
0,8071,1995-01-26,FEMENINO,SOLTERO,25,2019-07-31,,1,0001,56386,1,99
4,6600,1973-02-08,FEMENINO,SOLTERO,80,2015-10-01,,1,0002A,07460,1,1498
5,7685,1995-11-23,FEMENINO,SOLTERO,05,2018-06-08,,1,0002A,56617,1,517
7,5933,1962-08-06,FEMENINO,SOLTERO,51,2014-09-01,,1,0002A,07600,1,1893
8,7170,1978-05-09,FEMENINO,SOLTERO,57,2016-11-17,,1,0002A,55055,1,1085
10,5201,1974-01-30,FEMENINO,SOLTERO,82,2018-06-11,,1,0019A,54803,1,514
11,3890,1972-05-29,FEMENINO,SOLTERO,06,2010-05-24,,1,0175,56570,1,3454
12,7834,1973-10-25,FEMENINO,SOLTERO,54,2018-12-12,,1,0003A,54948,1,330
16,8083,1966-09-23,MASCULINO,CASADO,61,2019-08-08,,1,0017,54426,1,91
20,1123,1962-06-16,FEMENINO,SOLTERO,59,2006-01-02,,1,0017A,56495,1,5057
24,8144,1988-03-23,FEMENINO,SOLTERO,82,2019-10-02,,1,0001,54950,1,36
25,8049,1977-03-21,FEMENINO,CASADO,68,2019-07-08,,1,0001,08000,1,122
29,8100,1997-05-06,FEMENINO,SOLTERO,06,2019-08-28,,1,0001,56514,1,71
31,8066,1982-04-13,FEMENINO,SOLTERO,60,2019-07-22,,1,0001,55067,1,108
32,8161,1986-06-21,FEMENINO,SOLTERO,56,2019-10-18,,1,0001,01510,1,20
33,7977,1972-04-21,FEMENINO,CASADO,88,2019-05-06,,1,0001,53660,1,185
38,8088,1990-04-13,FEMENINO,SOLTERO,61,2019-08-13,,1,0001,52918,1,86
41,8123,1985-04-08,FEMENINO,SOLTERO,59,2019-09-18,,1,0001,56272,1,50
45,8143,1980-08-29,FEMENINO,SOLTERO,87,2019-09-30,,1,0017,50010,1,38
46,8132,1990-08-13,FEMENINO,SOLTERO,56,2019-09-24,,1,0001,01140,1,44
47,8112,1966-02-03,MASCULINO,CASADO,50,2019-09-05,,1,0017,54948,1,63
51,7259,1966-05-26,FEMENINO,SOLTERO,81,2017-02-08,,1,0002A,02230,1,1002
56,7338,1965-09-29,FEMENINO,SOLTERO,82,2017-03-31,,1,0003A,54930,1,951
57,5677,1983-10-24,FEMENINO,SOLTERO,87,2013-12-21,,1,0017A,50290,1,2147
61,8078,1997-12-29,FEMENINO,SOLTERO,74,2019-08-06,,1,0001,09704,1,93
62,8023,1978-05-29,FEMENINO,SOLTERO,50,2019-06-21,,1,0001,07469,1,139
65,7896,1964-03-10,FEMENINO,SOLTERO,68,2019-10-23,,1,0001,09209,1,15
66,8042,1971-12-23,FEMENINO,VIUDO,79,2019-07-02,,1,0001,02400,1,128
68,7943,1979-01-29,FEMENINO,SOLTERO,51,2019-04-05,,1,0001,07650,1,216
71,8152,1993-10-17,FEMENINO,SOLTERO,05,2019-10-11,,1,0001,08500,1,27
72,0849,1958-11-30,FEMENINO,SOLTERO,83,1997-03-05,,1,0037,11280,1,8282
74,7536,1997-07-02,FEMENINO,SOLTERO,75,2017-10-26,,1,0002A,01100,1,742
79,5181,1970-02-02,FEMENINO,SOLTERO,60,2012-09-13,,1,0002A,55067,1,2611
80,5429,1994-08-12,MASCULINO,CASADO,50,2019-03-30,,1,0175,54170,1,222
86,5558,1972-04-30,FEMENINO,SOLTERO,80,2013-08-22,,1,0003A,52928,1,2268
89,7663,1983-10-18,MASCULINO,CASADO,08,2018-05-10,,1,0001,57940,1,546
95,7773,1981-12-24,FEMENINO,SOLTERO,87,2018-09-27,,1,0002A,50295,1,406
101,1424,1971-12-18,MASCULINO,SOLTERO,88,2009-07-20,,1,0009,11290,1,3762
102,5280,1975-01-03,MASCULINO,SOLTERO,81,2016-04-05,,1,0023,07420,1,1311
103,8020,1995-07-01,MASCULINO,SOLTERO,37,2019-06-10,,1,0001,57158,1,150
107,8156,1981-04-17,FEMENINO,SOLTERO,37,2019-10-14,,1,0001,54090,1,24
108,8163,1995-03-31,FEMENINO,CASADO,79,2019-10-18,,1,0001,53787,1,20
117,7994,1996-05-31,MASCULINO,SOLTERO,72,2019-05-24,,1,0001,56338,1,167
119,6461,1977-12-12,MASCULINO,SOLTERO,11,2015-09-23,,1,0176,56607,1,1506
120,6765,1986-11-05,MASCULINO,SOLTERO,87,2016-01-08,,1,0017A,56680,1,1399
125,7909,1983-10-11,FEMENINO,SOLTERO,51,2019-03-05,,1,0001,07200,1,247
127,5000,1975-01-17,FEMENINO,SOLTERO,60,2012-06-07,,1,0015A,55500,1,2709
129,8113,1992-02-29,MASCULINO,CASADO,81,2019-09-06,,1,0017,02459,1,62
131,5644,1968-10-23,MASCULINO,SOLTERO,11,2013-11-04,,1,0176,07560,1,2194
132,6638,1978-12-02,FEMENINO,SOLTERO,51,2018-05-09,,1,0002A,07249,1,547
133,8155,1984-09-16,FEMENINO,CASADO,05,2019-10-14,,1,0001,09100,1,24
137,7800,1977-02-24,FEMENINO,SOLTERO,87,2018-11-02,,1,0001,50200,1,370
139,8111,1977-11-30,FEMENINO,CASADO,25,2019-09-05,,1,0001,56527,1,63
140,6690,1975-03-28,FEMENINO,SOLTERO,80,2015-11-20,,1,0002A,07089,1,1448
143,7168,1979-05-30,FEMENINO,SOLTERO,51,2016-11-14,,1,0002A,07770,1,1088
148,8081,1972-11-24,FEMENINO,SOLTERO,45,2019-08-07,,1,0001,15320,1,92
149,7991,1973-04-13,MASCULINO,SOLTERO,37,2019-05-22,,1,0017,01600,1,169
152,8063,1998-06-05,MASCULINO,SOLTERO,81,2019-07-22,,1,0001,07080,1,108
157,4314,1990-09-28,FEMENINO,SOLTERO,05,2011-04-06,,1,0173,16600,1,3137
166,7848,1978-09-17,FEMENINO,SOLTERO,07,2019-01-10,,1,0001,56343,1,301
167,7632,1975-06-04,FEMENINO,CASADO,05,2018-03-21,,1,0002A,56335,1,596
170,7873,1984-07-14,MASCULINO,CASADO,76,2019-02-05,,1,0001,56570,1,275
172,8068,1987-07-30,MASCULINO,CASADO,83,2019-07-24,,1,0044A,54910,1,106
181,8086,1999-08-30,FEMENINO,SOLTERO,52,2019-08-14,,1,0001,13400,1,85
185,8145,1988-01-25,FEMENINO,SOLTERO,52,2019-10-02,,1,0001,56615,1,36
186,8106,1981-09-25,FEMENINO,SOLTERO,51,2019-08-29,,1,0001,02630,1,70
191,8129,1979-09-26,FEMENINO,CASADO,81,2019-09-23,,1,0001,02230,1,45
193,7633,1981-04-05,FEMENINO,SOLTERO,25,2018-03-23,,1,0002A,09140,1,594
200,7984,1991-09-30,FEMENINO,SOLTERO,81,2019-05-09,,1,0017,07510,1,182
201,7914,1997-06-12,MASCULINO,SOLTERO,52,2019-03-13,,1,0002B,09310,1,239
202,8141,1991-04-28,MASCULINO,SOLTERO,74,2019-09-30,,1,0001,16600,1,38
203,2897,1959-10-29,FEMENINO,CASADO,51,2017-01-13,,1,0002A,07550,1,1028
206,5630,1990-04-12,MASCULINO,CASADO,08,2019-07-03,,1,0001,57000,1,127
207,8139,1996-07-31,MASCULINO,SOLTERO,50,2019-09-30,,1,0001,07188,1,38
208,8007,1969-10-17,MASCULINO,SOLTERO,52,2019-06-05,,1,0016,13520,1,155
209,8048,1992-11-18,MASCULINO,SOLTERO,52,2019-07-01,,1,0185,09889,1,129
211,8138,1998-03-14,MASCULINO,SOLTERO,74,2019-09-30,,1,0001,01280,1,38
216,8052,1987-06-13,MASCULINO,SOLTERO,88,2019-07-08,,1,0022A,53100,1,122
217,8105,1988-08-18,MASCULINO,SOLTERO,81,2019-08-28,,1,0001,53320,1,71
219,7204,1977-08-17,MASCULINO,SOLTERO,81,2019-10-23,,1,0001,07910,1,15
